,M2 Supply,Can,Chi,Eur,HK,Jap,Kor,US
2018-05-31,1.7005996711480784,1.76258431415521,1.6272562023565764,1.854975981693459,2.0500854653259,2.434401503018654,1.9929650716997909,3.102234193283069
2018-06-30,1.70782957732856,1.7876509159705194,1.4991892272345513,1.8217869009727221,1.9519526708579131,2.4220232636555146,1.9216048352014647,3.1223506038256774
2018-07-31,1.7113840796982283,1.800519201276267,1.4674036859146087,1.8371332981040658,1.8964312547930608,2.4376287261825533,1.8626961237380544,3.1887531447155486
2018-08-31,1.7165223909468983,1.7834914221197415,1.4194888736250553,1.8217583578694132,1.8584950348011802,2.4382986037637453,1.862036946082684,3.256902838588944
2018-09-30,1.7202340651900552,1.7662038630085322,1.431270114587121,1.8139175710990192,1.8125242268161808,2.5549145956702075,1.8808714473498394,3.290290305333024
2018-10-31,1.7211287358545297,1.6714640868007267,1.3634957852130576,1.7181184795598716,1.6995007675437015,2.444973735434534,1.7349776152006489,3.0812011138285524
2018-11-30,1.7234379533804027,1.6653635126073976,1.369703732658133,1.7073748581367951,1.7518089178633698,2.3711077350042657,1.69892110949418,3.0637006886328217
2018-12-31,1.737825224876679,1.5670628317868311,1.3143500689605647,1.621380323060056,1.7153312218780175,2.216970712009741,1.6690319483968754,2.8379798135951884
2019-01-31,1.7462157848921542,1.6734720018119134,1.3398647311841072,1.6900861004240024,1.8149263456504379,2.227328833411089,1.7437731936734941,2.9806378686392607
2019-02-28,1.7514024567172826,1.7493203043554562,1.4992383658323447,1.7646450526807562,1.9150456445879929,2.319706189165859,1.7997569168443222,3.1350010241550743
2019-03-31,1.7571210948834495,1.7741440744146182,1.6055780774269552,1.8099948034805253,1.9490137229898539,2.3267903903655567,1.765716439139917,3.180303626700474
2019-04-30,1.7614010058999887,1.8097695008556913,1.6612423964694456,1.8524321368687364,1.9974895679389353,2.3926283234741157,1.8065291419450995,3.2706225753412785
2019-05-31,1.773430699293934,1.7845504988529388,1.5072935542864925,1.7917075040816641,1.8563385705514601,2.291400279699667,1.6965208115758237,3.1947680121208357
2019-06-30,1.787769610213752,1.7987403602835488,1.5356881823348631,1.8297869723720874,1.8780320839884297,2.3050688608168963,1.720323701975909,3.2804087317244397
2019-07-31,1.7963415223909451,1.8107589324545796,1.5206222995298506,1.8452641490681758,1.8865713191612363,2.33335635785461,1.676997026846549,3.3551175024845845
2019-08-31,1.8056872037914677,1.7835353183416127,1.487422128258358,1.7750939030487736,1.7308878079744403,2.2278633233772474,1.5864822664572293,3.2412832240077023
2019-09-30,1.816737595512137,1.822840565292653,1.540412699086737,1.8356592585769496,1.766497108675744,2.3637557920760974,1.674285637030238,3.3211763189073227
2019-10-31,1.8320316278170021,1.8065407729682625,1.5346173137074204,1.8758594605663954,1.7784223907559018,2.4396296284030603,1.6991328143808686,3.353904979070177
