Date,Open,High,Low,Close,Adj Close,Volume
2017-11-16,15903.599609,16126.000000,15894.799805,16073.599609,16073.599609,79110920000
2017-11-23,16077.599609,16126.000000,15926.599609,15967.700195,15967.700195,60839910000
2017-11-30,16004.900391,16102.799805,15853.099609,15908.799805,15908.799805,118743350000
2017-12-07,15921.099609,16187.900391,15921.099609,16136.599609,16136.599609,87318180000
2017-12-14,16124.400391,16200.799805,16008.500000,16159.700195,16159.700195,114356350000
2017-12-21,16139.000000,16207.500000,16111.599609,16203.099609,16203.099609,42419600000
2017-12-28,16185.500000,16386.300781,16131.799805,16371.599609,16371.599609,66741620000
2018-01-04,16385.400391,16421.400391,16229.299805,16248.000000,16248.000000,100324870000
2018-01-11,16276.200195,16384.500000,16244.900391,16326.700195,16326.700195,106603440000
2018-01-18,16339.799805,16383.799805,16238.400391,16284.200195,16284.200195,109861490000
2018-01-25,16309.400391,16315.099609,15898.700195,15951.700195,15951.700195,111405350000
2018-02-01,15920.000000,15922.599609,14945.799805,15330.599609,15330.599609,125524610000
2018-02-08,15335.099609,15391.099609,14785.799805,15328.299805,15328.299805,130658460000
2018-02-15,15438.400391,15625.599609,15276.599609,15524.000000,15524.000000,87784620000
2018-02-22,15588.900391,15766.500000,15442.000000,15442.700195,15442.700195,100933230000
2018-03-01,15452.700195,15611.900391,15286.599609,15472.599609,15472.599609,87818320000
2018-03-08,15511.099609,15712.599609,15477.799805,15653.599609,15653.599609,81593120000
2018-03-15,15687.900391,15791.200195,15540.900391,15675.299805,15675.299805,131816090000
2018-03-22,15563.500000,15570.900391,15150.500000,15169.900391,15169.900391,108501180000
2018-03-29,15224.299805,15390.799805,14991.200195,15164.400391,15164.400391,82094800000
2018-04-05,15194.599609,15371.400391,15160.599609,15257.900391,15257.900391,103239100000
2018-04-12,15288.599609,15576.700195,15254.900391,15530.000000,15530.000000,93775600000
2018-04-19,15542.599609,15589.200195,15430.599609,15509.799805,15509.799805,95724550000
2018-04-26,15557.599609,15702.599609,15526.400391,15627.900391,15627.900391,89827760000
2018-05-03,15633.099609,15910.799805,15548.700195,15910.799805,15910.799805,110924240000
2018-05-10,15929.400391,16132.099609,15910.099609,16108.099609,16108.099609,107990700000
2018-05-17,16125.299805,16238.799805,16072.400391,16133.799805,16133.799805,81739170000
2018-05-24,16147.599609,16171.500000,15884.299805,16048.700195,16048.700195,85494690000
2018-05-31,16013.500000,16183.900391,15979.599609,16183.900391,16183.900391,101738070000
2018-06-07,16201.000000,16321.000000,16142.200195,16265.799805,16265.799805,88828560000
2018-06-14,16308.000000,16444.500000,16253.299805,16421.000000,16421.000000,122778950000
2018-06-21,16401.400391,16489.500000,16165.599609,16231.299805,16231.299805,116563180000
2018-06-28,16163.599609,16346.099609,16112.599609,16304.700195,16304.700195,65913730000
2018-07-05,16326.900391,16553.800781,16230.299805,16417.300781,16417.300781,86387150000
2018-07-12,16490.199219,16586.500000,16445.199219,16477.400391,16477.400391,80957350000
2018-07-19,16463.000000,16564.400391,16351.000000,16420.800781,16420.800781,84776400000
2018-07-26,16387.599609,16489.099609,16324.700195,16376.799805,16376.799805,94522570000
2018-08-02,16322.000000,16494.099609,16235.599609,16315.099609,16315.099609,76792610000
2018-08-09,16327.099609,16430.900391,16075.299805,16148.500000,16148.500000,100050600000
2018-08-16,16226.400391,16398.599609,16194.900391,16347.299805,16347.299805,100207380000
2018-08-23,16336.200195,16475.300781,16309.200195,16390.300781,16390.300781,97536130000
2018-08-30,16375.299805,16439.199219,16033.000000,16137.599609,16137.599609,92883900000
2018-09-06,16162.200195,16196.200195,15975.799805,16049.000000,16049.000000,113720590000
2018-09-13,16059.200195,16230.000000,15981.000000,16149.900391,16149.900391,121664040000
2018-09-20,16210.000000,16300.700195,16146.900391,16169.299805,16169.299805,146371520000
2018-09-27,16195.400391,16262.799805,15987.099609,16072.099609,16072.099609,119172000000
2018-10-04,16057.299805,16057.700195,15511.799805,15517.400391,15517.400391,102923940000
2018-10-11,15416.799805,15579.700195,15317.099609,15529.900391,15529.900391,151856060000
2018-10-18,15486.400391,15579.799805,14900.400391,14909.099609,14909.099609,143608720000
2018-10-25,14988.700195,15085.500000,14639.700195,15027.299805,15027.299805,145019560000
2018-11-01,15032.799805,15392.000000,15029.200195,15369.400391,15369.400391,132291310000
2018-11-08,15349.599609,15393.099609,15046.799805,15133.099609,15133.099609,140530120000
2018-11-15,15104.799805,15195.400391,14810.599609,15095.000000,15095.000000,134219800000
2018-11-22,15077.900391,15171.299805,14900.299805,15171.299805,15171.299805,94827560000
